id,value
63942.68,2501.08
27502.93,22321.07
73647.12,67669.95
89217.96,8693.88
42192.18,2979.72
21863.8,50535.53
2653.6,19883.77
64988.44,54494.15
22044.06,58926.57
80943.05,649.88
80581.93,69813.94
34025.05,15547.95
95721.31,33659.45
9274.58,9671.64
84749.44,60372.6
80712.83,72973.18
53622.81,97311.58
37853.44,55204.06
82940.47,61851.98
86170.69,57735.21
70457.18,4582.44
22789.83,28938.8
7979.2,23279.09
10100.14,27797.36
63568.44,36483.22
37018.1,20950.7
26697.78,93665.46
64803.54,60913.1
17113.86,72912.68
16340.25,37945.54
98952.34,63999.98
55694.97,68461.43
84285.19,77599.99
22904.81,3210.02
31545.3,26774.09
21098.28,94290.97
87636.76,31467.79
65543.87,39563.19
91454.76,45885.19
26488.02,24662.75
56136.81,26274.16
58458.6,89782.29
39940.05,21932.08
99753.76,50952.63
9090.94,4711.64
10964.91,62744.6
79207.94,42216.0
6352.77,38161.93
99612.14,52911.43
97107.84,86077.97
1148.1,72072.18
68171.04,53697.03
26682.52,64096.18
11155.22,43476.53
45372.37,95381.59
87585.29,26338.91
50058.61,17865.19
91262.78,87051.86
29844.48,63894.95
60897.02,15283.93
76251.08,53937.9
77862.65,53035.37
57.19,32415.61
1947.67,92909.86
87872.19,83166.55
30751.41,5792.52
87800.96,94694.94
8565.35,48599.05
6921.25,76060.22
76583.44,12839.15
47528.24,54980.36
26505.66,87243.3
42313.79,21179.82
53929.61,72993.11
20115.11,31171.63
99514.94,64987.81
43810.01,51757.58
12100.42,22469.73
33808.56,58830.87
23011.47,22021.74
7099.31,63110.3
22894.18,90542.0
85963.54,7085.73
23800.46,66897.78
21423.68,13231.18
93551.42,57104.31
47267.1,78461.94
80749.7,19040.99
9693.08,43105.12
42357.86,46702.47
72907.58,67336.45
98416.52,9841.79
40262.13,33930.26
86167.25,24865.63
19020.89,44861.35
42188.16,27854.51
24980.64,92326.56
44313.07,86134.91
55032.53,5058.83
99928.25,83602.76
96899.63,92636.7
84869.57,16631.11
48564.11,21374.73
40104.03,5863.54
37897.31,98530.88
26520.31,78407.06
45500.84,42300.75
95731.76,99542.27
55576.83,71840.83
15479.68,29670.78
96870.94,57918.03
54219.52,74797.56
5716.53,58417.76
50285.04,85271.99
15743.27,96077.89
8011.15,18582.5
59503.51,67521.26
23520.39,11988.66
89028.73,24621.53
59451.92,61938.15
41922.49,58367.23
52278.27,93470.63
20425.92,71619.18
23868.6,39578.58
67169.02,29999.71
31617.72,75186.45
7254.31,45828.55
99845.44,99609.64
7326.07,21315.43
26520.04,93325.94
88086.42,87927.02
36952.71,15774.68
83374.5,70353.99
61167.78,98723.31
65397.63,782.31
81710.41,29937.88
66338.87,93893.0
13429.11,11542.87
10703.6,55322.36
27234.82,60482.98
71761.22,20359.73
63423.8,26398.39
48853.19,90533.65
84610.37,9229.85
42357.58,27668.02
354.57,77111.92
63711.34,26195.53
74123.09,55168.04
42768.69,966.97
7524.39,88310.64
90392.86,54559.03
83459.5,58250.96
14809.38,12744.55
30825.83,89898.15
79612.23,86070.26
89892.46,21007.65
24952.97,10279.36
78011.62,88413.47
40637.74,62066.15
15455.33,92988.1
86460.57,97620.6
81077.17,88141.62
2478.64,73656.45
33218.55,93081.59
80223.51,86406.4
81074.93,26680.57
78737.45,10809.56
87216.68,85859.33
22243.37,81658.66
46030.32,30519.09
79534.55,22759.55
2366.44,19312.98
32826.2,86435.29
96688.91,27912.5
64148.17,39967.84
98114.97,53621.57
93923.71,11534.18
97040.06,17856.78
96253.43,26546.64
10840.25,43456.38
72854.51,31367.73
60620.89,51142.31
38519.54,57658.8
25472.25,70878.53
169.13,92557.52
53845.2,71943.0
74195.01,67062.85
36422.15,6997.38
66423.77,33020.0
31391.56,84801.53
71975.43,30032.23
30928.47,40839.29
40240.04,29565.52
12728.78,42044.63
94036.37,67731.79
90280.55,61551.49
30094.99,54793.72
40.59,28691.37
42988.81,57998.48
65470.56,46498.82
44215.98,21370.14
47318.62,90118.08
79602.48,16969.14
8479.55,51545.2
63294.09,33518.83
81842.35,75113.81
67279.57,22464.07
19912.99,2442.54
24484.25,47513.63
84973.77,7282.82
41444.1,62976.54
19443.52,69635.43
49437.72,24398.44
65605.8,554.48
75096.45,77004.62
10658.73,42514.62
17588.67,95796.6
51795.78,5021.84
24919.83,84833.63
45646.18,80141.66
